_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,wcl_lat,wcl_lon
95829,26369025.0,val,-79.09,-45.00487518310547,27.43177114673272,1800.0,Park,52.50664487811046,13.345645918028
95839,26369025.0,val,-78.329375,-42.36840057373047,9.73667459827527,1800.0,Park,52.50664487811046,13.345645918028
95844,26369025.0,val,-79.61875,-44.004852294921875,21.379674414968857,1800.0,Park,52.50664487811046,13.345645918028
95878,26369025.0,val,-90.733125,-55.67112731933594,131.61815940588133,1800.0,Park,52.50664487811046,13.345645918028
95909,26369025.0,val,-93.0775,-58.01985168457031,180.95971516843542,1800.0,Park,52.50664487811046,13.345645918028
95925,26369025.0,val,-91.914375,-58.620147705078125,196.4576550947997,1800.0,Park,52.50664487811046,13.345645918028
95929,26369025.0,val,-91.53875,-58.74168395996094,199.72983562042594,1800.0,Park,52.50664487811046,13.345645918028
95935,26369025.0,val,-91.48375,-58.94486999511719,205.37396863024122,1800.0,Park,52.50664487811046,13.345645918028
95939,26369025.0,val,-91.93875,-59.040748596191406,208.09980487624338,1800.0,Park,52.50664487811046,13.345645918028
108525,26369025.0,val,-77.443125,-42.985107421875,14.720534364991043,1800.0,Park,52.50664487811046,13.345645918028
108538,26369025.0,val,-79.348125,-43.299163818359375,16.88519971642306,1800.0,Park,52.50664487811046,13.345645918028
108582,26369025.0,val,-91.974375,-54.8612060546875,118.11125075873609,1800.0,Park,52.50664487811046,13.345645918028
108596,26369025.0,val,-91.079375,-55.84845733642578,134.79088367585317,1800.0,Park,52.50664487811046,13.345645918028
108624,26369025.0,val,-89.938125,-57.206642150878906,161.96892825585576,1800.0,Park,52.50664487811046,13.345645918028
108628,26369025.0,val,-91.796875,-57.42205810546875,166.77928880723996,1800.0,Park,52.50664487811046,13.345645918028
108639,26369025.0,val,-92.77125,-57.99925994873047,180.43561216855173,1800.0,Park,52.50664487811046,13.345645918028
108674,26369025.0,val,-92.475625,-58.94783020019531,205.4213926585719,1800.0,Park,52.50664487811046,13.345645918028
121699,26369025.0,val,-82.755,-49.03160858154297,54.17300546800556,1800.0,Park,52.50664487811046,13.345645918028
121733,26369025.0,val,-78.935625,-45.023773193359375,27.545093395879366,1800.0,Park,52.50664487811046,13.345645918028
121753,26369025.0,val,-93.50125,-52.005088806152344,81.0092081001103,1800.0,Park,52.50664487811046,13.345645918028
121777,26369025.0,val,-89.041875,-56.58821105957031,148.930586155692,1800.0,Park,52.50664487811046,13.345645918028
121797,26369025.0,val,-90.70716292134831,-58.863365173339844,203.0597274976975,1800.0,Park,52.50664487811046,13.345645918028
134853,26369025.0,val,-86.360625,-52.35502624511719,84.83275561687027,1800.0,Park,52.50664487811046,13.345645918028
134856,26369025.0,val,-84.0475,-51.19129943847656,72.74479029323678,1800.0,Park,52.50664487811046,13.345645918028
134870,26369025.0,val,-76.87625,-45.03052520751953,27.58605994144094,1800.0,Park,52.50664487811046,13.345645918028
134896,26369025.0,val,-78.88625,-45.89264678955078,32.824227736395216,1800.0,Park,52.50664487811046,13.345645918028
134909,26369025.0,val,-89.724375,-50.05867004394531,62.47249303463456,1800.0,Park,52.50664487811046,13.345645918028
134914,26369025.0,val,-92.175,-52.13819885253906,82.44238489136161,1800.0,Park,52.50664487811046,13.345645918028
134947,26369025.0,val,-89.3275,-57.203636169433594,161.89702846988203,1800.0,Park,52.50664487811046,13.345645918028
134955,26369025.0,val,-91.9375,-57.82000732421875,176.0748642589033,1800.0,Park,52.50664487811046,13.345645918028
134985,26369025.0,val,-89.796875,-58.94255828857422,205.27200316356982,1800.0,Park,52.50664487811046,13.345645918028
149517,26369025.0,val,-88.31875,-52.68086242675781,88.54764633881877,1800.0,Park,52.50664487811046,13.345645918028
149536,26369025.0,val,-82.001875,-48.960609436035156,53.62929827042196,1800.0,Park,52.50664487811046,13.345645918028
149551,26369025.0,val,-81.10625,-46.8118896484375,38.61334494465847,1800.0,Park,52.50664487811046,13.345645918028
149587,26369025.0,val,-79.481875,-45.98847198486328,33.41600674975005,1800.0,Park,52.50664487811046,13.345645918028
149599,26369025.0,val,-79.89,-45.98844909667969,33.41600674975005,1800.0,Park,52.50664487811046,13.345645918028
