event_idx,from_cell,to_cell,dur_s,pA_from,pA_to,pB_from,pB_to,correct_A,correct_B,hda_correct,flip_correct,margin_A_dB,margin_B_dB
132,26368258.0,28650241.0,147.0,-58.03688049316406,-59.533607482910156,-58.13843536376953,-59.4608154296875,True,False,False,False,1.4967269897460938,-1.3223800659179688
133,28792066.0,26947072.0,29.0,-270.0,-270.0,-270.0,-270.0,False,False,False,False,0.0,0.0
134,26947072.0,28792066.0,39.0,-270.0,-270.0,-270.0,-270.0,False,False,False,False,0.0,0.0
135,28792066.0,26947072.0,21.0,-90.35933685302734,-58.262107849121094,-88.42271423339844,-76.33236694335938,False,True,False,True,-32.09722900390625,12.090347290039062
136,26947072.0,28792066.0,10.0,-52.777130126953125,-85.87871551513672,-52.525062561035156,-86.66561889648438,True,False,False,False,33.101585388183594,-34.14055633544922
137,28792066.0,26947072.0,42.0,-82.91683959960938,-50.76280212402344,-127.09295654296875,-50.14874267578125,False,True,False,True,-32.15403747558594,76.9442138671875
138,26365185.0,26917120.0,15.0,-270.0,-82.67073059082031,-270.0,-77.91702270507812,False,True,False,True,-187.3292694091797,192.08297729492188
139,26917120.0,40782336.0,71.0,-63.46501159667969,-76.25092315673828,-63.01171875,-84.18218994140625,True,False,False,False,12.785911560058594,-21.17047119140625
140,40782336.0,26947073.0,20.0,-270.0,-49.70350646972656,-104.17300415039062,-49.31590270996094,False,True,False,True,-220.29649353027344,54.85710144042969
141,26947073.0,26947074.0,77.0,-58.20286560058594,-71.383544921875,-58.751747131347656,-71.21971893310547,True,False,False,False,13.180679321289062,-12.467971801757812
142,34210561.0,34210562.0,40.0,-49.759681701660156,-66.45368957519531,-51.788490295410156,-66.20146179199219,True,False,False,False,16.694007873535156,-14.412971496582031
143,34210562.0,26347520.0,18.0,-59.63653564453125,-59.66094970703125,-60.123199462890625,-59.002220153808594,True,True,True,True,0.0244140625,1.1209793090820312
144,30625794.0,40812800.0,104.0,-47.832374572753906,-65.8634033203125,-48.95768737792969,-65.5770492553711,True,False,False,False,18.031028747558594,-16.619361877441406
145,40812800.0,26356993.0,30.0,-64.19624328613281,-69.64276123046875,-64.5024185180664,-69.521728515625,True,False,False,False,5.4465179443359375,-5.019309997558594
146,26356992.0,26356993.0,62.0,-43.366920471191406,-65.95592498779297,-44.25481414794922,-66.03291320800781,True,False,False,False,22.589004516601562,-21.778099060058594
147,26356993.0,26353920.0,75.0,-69.9635009765625,-56.54524230957031,-70.03856658935547,-56.249298095703125,False,True,False,True,-13.418258666992188,13.789268493652344
148,26353920.0,26365186.0,44.0,-53.916175842285156,-64.03716278076172,-54.452247619628906,-63.85130310058594,True,False,False,False,10.120986938476562,-9.399055480957031
149,26365186.0,26365185.0,98.0,-60.381744384765625,-63.320343017578125,-60.62354278564453,-63.24798583984375,True,False,False,False,2.9385986328125,-2.6244430541992188
150,26365185.0,26363650.0,45.0,-65.91332244873047,-54.91309356689453,-66.04925537109375,-54.10633087158203,False,True,False,True,-11.000228881835938,11.942924499511719
151,26363650.0,26363649.0,11.0,-57.330291748046875,-51.221954345703125,-57.817474365234375,-51.22645568847656,False,True,False,True,-6.10833740234375,6.5910186767578125
152,26363649.0,29127682.0,97.0,-56.83570861816406,-57.090065002441406,-57.354164123535156,-56.63166809082031,True,True,True,True,0.25435638427734375,0.7224960327148438
153,29127680.0,29127681.0,53.0,-65.15745544433594,-61.69013977050781,-65.24044036865234,-61.44654083251953,False,True,False,True,-3.467315673828125,3.7938995361328125
154,29127681.0,26367489.0,21.0,-64.8354263305664,-60.42407989501953,-64.87216186523438,-60.452117919921875,False,True,False,True,-4.411346435546875,4.4200439453125
155,26367489.0,33802242.0,79.0,-63.17259979248047,-61.32635498046875,-63.357200622558594,-61.096153259277344,False,True,False,True,-1.8462448120117188,2.26104736328125
156,33802242.0,33802241.0,36.0,-63.190345764160156,-59.14405822753906,-63.40986633300781,-58.74566650390625,False,True,False,True,-4.046287536621094,4.6641998291015625
