_row,cell_id,new_split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,wcl_lat,wcl_lon
116206,2580501.0,train,-94.035,-60.29503631591797,247.05829341755967,2000.0,52.51120038191861,13.301164524543731
116212,2580501.0,train,-94.8425,-59.900779724121094,234.0936045941947,2000.0,52.51120038191861,13.301164524543731
116220,2580501.0,train,-92.164375,-59.06040954589844,208.65516453690012,2000.0,52.51120038191861,13.301164524543731
116226,2580501.0,train,-88.8275,-58.12890625,183.68621837352146,2000.0,52.51120038191861,13.301164524543731
116235,2580501.0,train,-86.161875,-57.087127685546875,159.36826347897463,2000.0,52.51120038191861,13.301164524543731
116254,2580501.0,train,-83.513125,-54.34893798828125,110.33651932338122,2000.0,52.51120038191861,13.301164524543731
116259,2580501.0,train,-83.414375,-53.79619598388672,102.55482433331255,2000.0,52.51120038191861,13.301164524543731
116261,2580501.0,train,-82.715,-53.271087646484375,95.6937057395811,2000.0,52.51120038191861,13.301164524543731
116265,2580501.0,train,-81.22,-52.76365661621094,89.51140865094413,2000.0,52.51120038191861,13.301164524543731
116270,2580501.0,train,-81.430625,-52.23445129394531,83.49238611171924,2000.0,52.51120038191861,13.301164524543731
116280,2580501.0,train,-78.566875,-51.1312255859375,72.1602848859101,2000.0,52.51120038191861,13.301164524543731
116282,2580501.0,train,-78.389375,-50.59498596191406,67.16910062852853,2000.0,52.51120038191861,13.301164524543731
116287,2580501.0,train,-78.165625,-50.07719421386719,62.628229850072785,2000.0,52.51120038191861,13.301164524543731
116311,2580501.0,train,-73.44375,-45.876380920410156,32.7216313665564,2000.0,52.51120038191861,13.301164524543731
116324,2580501.0,train,-68.88875,-43.021820068359375,14.980838582187982,2000.0,52.51120038191861,13.301164524543731
116331,2580501.0,train,-67.8725,-41.8380126953125,1.1943928997582784,2000.0,52.51120038191861,13.301164524543731
116333,2580501.0,train,-70.400625,-42.159515380859375,7.540789354286517,2000.0,52.51120038191861,13.301164524543731
116339,2580501.0,train,-75.65875,-43.148033142089844,15.860697564273748,2000.0,52.51120038191861,13.301164524543731
116342,2580501.0,train,-81.315,-44.585357666015625,24.905246960921318,2000.0,52.51120038191861,13.301164524543731
116345,2580501.0,train,-80.80625,-46.176292419433594,34.578760350512354,2000.0,52.51120038191861,13.301164524543731
116354,2580501.0,train,-83.983125,-49.24281311035156,55.80711221024306,2000.0,52.51120038191861,13.301164524543731
116358,2580501.0,train,-83.423125,-50.5819091796875,67.04834621753544,2000.0,52.51120038191861,13.301164524543731
116366,2580501.0,train,-69.65125,-52.805145263671875,90.00075131383177,2000.0,52.51120038191861,13.301164524543731
116371,2580501.0,train,-67.53625,-53.71705627441406,101.48804770714172,2000.0,52.51120038191861,13.301164524543731
116374,2580501.0,train,-69.523125,-54.525634765625,112.95317305627752,2000.0,52.51120038191861,13.301164524543731
116379,2580501.0,train,-77.2775,-55.24730682373047,124.37369114594489,2000.0,52.51120038191861,13.301164524543731
128768,2580501.0,train,-113.1734375,-67.05569458007812,607.6606823781306,2000.0,52.51120038191861,13.301164524543731
128771,2580501.0,train,-112.35,-66.93225860595703,598.050206285883,2000.0,52.51120038191861,13.301164524543731
128774,2580501.0,train,-113.641875,-66.79862213134766,587.8382789097288,2000.0,52.51120038191861,13.301164524543731
128780,2580501.0,train,-114.39875,-66.6585693359375,577.2900658086387,2000.0,52.51120038191861,13.301164524543731
128787,2580501.0,train,-112.264375,-66.35148620605469,554.7571486747912,2000.0,52.51120038191861,13.301164524543731
128791,2580501.0,train,-110.43625,-66.184326171875,542.8432714904864,2000.0,52.51120038191861,13.301164524543731
128796,2580501.0,train,-110.091875,-66.01212310791016,530.8173159588525,2000.0,52.51120038191861,13.301164524543731
128799,2580501.0,train,-111.550625,-65.83628845214844,518.7913678420427,2000.0,52.51120038191861,13.301164524543731
128804,2580501.0,train,-112.99875,-65.64965057373047,506.31710580274665,2000.0,52.51120038191861,13.301164524543731
128808,2580501.0,train,-110.769375,-65.45254516601562,493.41543439144766,2000.0,52.51120038191861,13.301164524543731
128813,2580501.0,train,-110.721875,-65.2498550415039,480.49300331576006,2000.0,52.51120038191861,13.301164524543731
128814,2580501.0,train,-109.593125,-65.04593658447266,467.79475784737474,2000.0,52.51120038191861,13.301164524543731
128821,2580501.0,train,-108.614375,-64.84642028808594,455.6568590918817,2000.0,52.51120038191861,13.301164524543731
128823,2580501.0,train,-108.260625,-64.6475601196289,443.8762664696113,2000.0,52.51120038191861,13.301164524543731
128826,2580501.0,train,-107.351875,-64.44792938232422,432.31989452880924,2000.0,52.51120038191861,13.301164524543731
128830,2580501.0,train,-106.9575,-64.25133514404297,421.2117992222962,2000.0,52.51120038191861,13.301164524543731
128835,2580501.0,train,-103.418125,-64.05194091796875,410.2158096958913,2000.0,52.51120038191861,13.301164524543731
128843,2580501.0,train,-103.365625,-63.63786315917969,388.22402355555835,2000.0,52.51120038191861,13.301164524543731
128847,2580501.0,train,-101.074375,-63.417724609375,376.9826212999743,2000.0,52.51120038191861,13.301164524543731
128850,2580501.0,train,-99.034375,-63.187713623046875,365.56044665015804,2000.0,52.51120038191861,13.301164524543731
128856,2580501.0,train,-100.66375,-62.950904846191406,354.1387461080319,2000.0,52.51120038191861,13.301164524543731
128861,2580501.0,train,-99.23625,-62.7059326171875,342.6734108431674,2000.0,52.51120038191861,13.301164524543731
128863,2580501.0,train,-98.68875,-62.45868682861328,331.4541255317554,2000.0,52.51120038191861,13.301164524543731
128866,2580501.0,train,-99.660625,-62.2039794921875,320.2572829570273,2000.0,52.51120038191861,13.301164524543731
128870,2580501.0,train,-99.9,-61.942901611328125,309.150431523925,2000.0,52.51120038191861,13.301164524543731
128874,2580501.0,train,-99.46375,-61.672821044921875,298.0437633735114,2000.0,52.51120038191861,13.301164524543731
128881,2580501.0,train,-98.0825,-61.390159606933594,286.825364082919,2000.0,52.51120038191861,13.301164524543731
128885,2580501.0,train,-99.93125,-61.08782958984375,275.2714586167909,2000.0,52.51120038191861,13.301164524543731
128893,2580501.0,train,-97.904375,-60.42584228515625,251.51246148175986,2000.0,52.51120038191861,13.301164524543731
128900,2580501.0,train,-95.700625,-59.69651794433594,227.64155905088518,2000.0,52.51120038191861,13.301164524543731
128903,2580501.0,train,-91.42,-59.31147766113281,215.9529799652904,2000.0,52.51120038191861,13.301164524543731
128908,2580501.0,train,-89.769375,-58.917076110839844,204.6002273637005,2000.0,52.51120038191861,13.301164524543731
128913,2580501.0,train,-88.708125,-58.521995544433594,193.83038108768395,2000.0,52.51120038191861,13.301164524543731
128915,2580501.0,train,-88.405,-58.108428955078125,183.17273093984898,2000.0,52.51120038191861,13.301164524543731
128919,2580501.0,train,-87.75,-57.67884826660156,172.73912219833866,2000.0,52.51120038191861,13.301164524543731
