_row,operator,device,cell_id,split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,gap_type,tower_lat,tower_lon,position_source,sionna_power_cal,residual_cal
48688,1,pc4,33802242.0,val,-95.704375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.867711553594049
48694,1,pc4,33802242.0,val,-95.76375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.927086553594052
48695,1,pc4,33802242.0,val,-95.429375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.592711553594043
48699,1,pc4,33802242.0,val,-95.555625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.718961553594056
48706,1,pc4,33802242.0,val,-95.62625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.789586553594049
48709,1,pc4,33802242.0,val,-95.76625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.929586553594049
48714,1,pc4,33802242.0,val,-95.735625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.898961553594049
48715,1,pc4,33802242.0,val,-95.99125,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.154586553594044
48721,1,pc4,33802242.0,val,-95.831875,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.9952115535940464
48723,1,pc4,33802242.0,val,-95.979375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.142711553594054
48727,1,pc4,33802242.0,val,-95.75125,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-7.914586553594049
48732,1,pc4,33802242.0,val,-95.955,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.118336553594048
48736,1,pc4,33802242.0,val,-96.030625,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.19396155359405
48739,1,pc4,33802242.0,val,-95.889375,-70.83662414550781,977.7782374765383,1800.0,Avenue,Unflagged,52.5127,13.3344,ocid_exact,-87.83666344640595,-8.052711553594051
