_row,operator,device,near_typeb,dist_to_typeb_m,sionna_cal_pt,measured_rsrp
102536,1,pc1,False,2837.7398691152785,-87.86473428108364,-88.08875
102540,1,pc1,False,2833.2746020617506,-88.10139809944302,-88.159375
102542,1,pc1,False,2828.92504061562,-88.32163583137661,-86.624375
102548,1,pc1,False,2824.4848108342057,-88.54649697639614,-85.07125
102552,1,pc1,False,2819.7899112197224,-88.77334939338833,-85.151875
102557,1,pc1,False,2814.748805548699,-89.01958810188442,-86.9475
102558,1,pc1,False,2809.141523113305,-89.27801095344692,-84.049375
102564,1,pc1,False,2802.873041785446,-89.55633126594692,-87.11125
102566,1,pc1,False,2795.7813171875064,-89.85047494270474,-88.119375
102573,1,pc1,False,2788.028624451168,-90.153270352861,-90.52
102577,1,pc1,False,2780.2117043076983,-90.4540058264938,-94.040625
102581,1,pc1,False,2772.443687731291,-90.75149880745084,-94.913125
102584,1,pc1,False,2764.9646229049226,-91.05021249153286,-96.77875
102587,1,pc1,False,2757.5739665956885,-91.33542214729458,-99.674375
102591,1,pc1,False,2750.444201092735,-91.60975991584928,-99.4407894736842
156559,1,pc4,False,3214.335233672362,-90.22152291633756,-93.620625
156564,1,pc4,False,3210.5621428306163,-90.10865365364224,-91.37875
156569,1,pc4,False,3206.995371834248,-89.99542580940395,-90.341875
156572,1,pc4,False,3203.6925235332783,-89.89059792854457,-90.83625
156575,1,pc4,False,3200.493932362154,-89.78508340217739,-90.989375
156580,1,pc4,False,3197.2977762445967,-89.67835580207974,-89.105
156583,1,pc4,False,3194.206060270352,-89.57088052131802,-88.4975
156588,1,pc4,False,3191.1168789547796,-89.46213113166958,-88.388125
156593,1,pc4,False,3188.1323238603513,-89.35257302620083,-89.359375
156595,1,pc1,False,3208.7671969481503,-89.95811044075161,-89.25131578947368
156597,1,pc4,False,3185.1738289015916,-89.23714028694302,-88.35625
156600,1,pc4,False,3182.2969247234873,-89.12530099250942,-89.301875
156601,1,pc1,False,3205.5464460811572,-89.85721932747036,-85.9825
156602,1,pc4,False,3179.446598277064,-89.00738107063442,-87.1675
156603,1,pc1,False,3202.3504079995973,-89.75104867317349,-86.04875
156606,1,pc4,False,3176.6235023979916,-88.88314401008755,-86.514375
156607,1,pc1,False,3198.9756502254295,-89.63834725715786,-85.9375
156611,1,pc4,False,3173.70169841541,-88.75666390754849,-84.726875
156612,1,pc1,False,3195.7055976949605,-89.52479897834927,-87.198125
156616,1,pc1,False,3192.359462650079,-89.4049106726852,-87.50375
156617,1,pc4,False,3170.6277502792345,-88.6175800452438,-82.698125
156619,1,pc1,False,3188.9377489042627,-89.27845345832974,-87.34125
156620,1,pc4,False,3167.5052808706214,-88.46578561165005,-83.813125
156624,1,pc4,False,3164.20815613987,-88.30526315071255,-82.991875
156625,1,pc1,False,3185.7238569996516,-89.15124093391567,-86.469375
156627,1,pc4,False,3161.0445767020374,-88.13705788948208,-83.29125
156628,1,pc1,False,3182.513613641698,-89.02219735481411,-86.953125
156630,1,pc4,False,3157.7334999992454,-87.95394479133755,-81.2775
156632,1,pc1,False,3179.3070298820535,-88.89126931526332,-86.43875
156636,1,pc1,False,3176.050605780172,-88.74832497932582,-84.455
156637,1,pc4,False,3154.532450672885,-87.76743661262661,-81.86375
156639,1,pc4,False,3151.109806046513,-87.55862771370083,-80.364375
156640,1,pc1,False,3172.798736905085,-88.60303841926724,-85.051875
156642,1,pc4,False,3147.571059528527,-87.3265415320602,-80.890625
156643,1,pc1,False,3169.5763939388103,-88.45036660530239,-84.2425
156646,1,pc1,False,3166.1020708686874,-88.28330575325161,-84.588125
156647,1,pc4,False,3143.892085766681,-87.07530557014614,-81.441875
156652,1,pc4,False,3139.848990133909,-86.78351937629849,-79.904375
156653,1,pc1,False,3162.222931262472,-88.0896259436813,-84.61
156654,1,pc1,False,3158.0199402887984,-87.85157357551724,-83.545
156657,1,pc4,False,3135.7571650440673,-86.44916879036099,-79.93
156658,1,pc1,False,3153.4476505763937,-87.57660256721645,-82.635625
156660,1,pc4,False,3131.3598327167956,-86.07956277229457,-79.301875
156663,1,pc1,False,3148.8694134898683,-87.27508889534145,-82.39875
156664,1,pc4,False,3126.734822143663,-85.6782261023727,-79.331875
156668,1,pc1,False,3144.440602359301,-86.95759164192349,-81.874375
156669,1,pc4,False,3122.4026474390557,-85.24533425666958,-79.060625
156671,1,pc4,False,3118.0261272260236,-84.78242074348599,-80.391875
156672,1,pc1,False,3139.8069619953394,-86.60800515510708,-81.77625
156675,1,pc1,False,3135.1792849226754,-86.22428475715786,-81.321875
156676,1,pc4,False,3113.71081597909,-84.28692971565395,-82.930625
156678,1,pc1,False,3130.326621674941,-85.80780373909145,-79.379375
156679,1,pc4,False,3109.179093856244,-83.74358712532192,-83.225
156682,1,pc4,False,3104.5764588889183,-83.16505776741177,-82.77375
156683,1,pc1,False,3125.4155357415702,-85.34151803352505,-78.96375
156686,1,pc4,False,3099.7276841979074,-82.53474770881802,-82.789375
156688,1,pc1,False,3120.3919825125704,-84.83338509895474,-80.170625
156691,1,pc1,False,3115.4357352349,-84.28745614387661,-79.771875
156692,1,pc4,False,3094.7396697524546,-81.87620126106411,-82.54125
156694,1,pc4,False,3089.503882908575,-81.15233956672817,-82.04625
156696,1,pc1,False,3110.5168559912195,-83.70700417854457,-79.028125
156699,1,pc4,False,3084.1237337392367,-80.38837777473599,-83.19875
156701,1,pc1,False,3105.3560816825093,-83.07511483528286,-78.79875
156703,1,pc4,False,3078.5265238551065,-79.56492196418911,-82.80375
156705,1,pc1,False,3100.129301311818,-82.39558755256802,-81.286875
156707,1,pc4,False,3072.6048292463956,-78.66880380012661,-84.446875
156709,1,pc1,False,3094.5228312613654,-81.65547524788052,-82.138125
156710,1,pc4,False,3066.6710036712025,-77.69602547981411,-83.9875
156713,1,pc1,False,3088.7783490367074,-80.87159310676724,-82.55375
156714,1,pc4,False,3060.6182352114547,-76.63174783088833,-90.750625
156715,1,pc1,False,3083.447906712926,-80.07348214485317,-80.25375
156720,1,pc1,False,3078.001277271301,-79.25223885872036,-80.201875
156721,1,pc4,False,3054.4165986786847,-75.42293130256802,-98.495625
156724,1,pc1,False,3072.4005609107776,-78.37796365120083,-80.40875
156725,1,pc4,False,3048.133465091067,-74.06881295540005,-97.26625
156726,1,pc1,False,3066.402229997499,-77.40520821907192,-82.430625
156728,1,pc4,False,3041.8999458963963,-72.61779366829067,-94.453125
156730,1,pc4,False,3036.8341636614355,-71.19210397102505,-91.8325
156732,1,pc1,False,3060.0050962382993,-76.31498299934536,-91.98875
156735,1,pc1,False,3053.102707253336,-75.08269845344692,-98.4525
156736,1,pc4,False,3030.85242100968,-69.99205361702114,-88.78625
156738,1,pc1,False,3046.2206389817675,-73.71055947639614,-96.56375
156739,1,pc4,False,3024.4016326802684,-68.75451241829067,-87.953125
156744,1,pc4,False,3017.956009635685,-68.39165841438442,-83.634375
156745,1,pc1,False,3039.148019021607,-72.19750558235317,-94.79125
156746,1,pc4,False,3011.0379305225415,-68.94311105110317,-81.623125
156749,1,pc1,False,3033.875070090468,-70.75352822639614,-91.186875
