tower_lat,tower_lon,weighted_spread_m,n_localization_rows,operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,n_validation_rows
52.51516175421742,13.323203054955597,88.6,618,1,262.0,1.0,1494.0,29127680.0,364
52.51244336410217,13.323064453353371,120.0,1102,1,262.0,1.0,1494.0,29127681.0,732
52.5120609877061,13.314236475151224,61.1,1238,1,262.0,1.0,1494.0,29127682.0,844
52.5147668180796,13.322796027851197,76.7,71,1,262.0,1.0,1494.0,29127683.0,62
52.512774663854884,13.322657172480186,123.4,210,1,262.0,1.0,1494.0,29127684.0,133
52.51187805030834,13.312421763244831,114.7,107,1,262.0,1.0,1494.0,29127685.0,68
52.51392767111913,13.342491477526982,74.1,636,1,262.0,1.0,1494.0,33802241.0,422
52.5134951527039,13.335306621694308,96.7,1407,1,262.0,1.0,1494.0,33802242.0,910
52.51267249449043,13.324332250610215,49.7,21,1,262.0,1.0,1494.0,33802246.0,10
52.514097067004435,13.344997906513056,122.8,223,1,262.0,1.0,1494.0,33802247.0,165
52.513351394633794,13.33459218687503,73.0,206,1,262.0,1.0,1494.0,33802248.0,143
52.5148852288297,13.35653183087887,22.7,169,1,262.0,1.0,1494.0,34006272.0,124
52.514830522364946,13.355571747700239,14.8,384,1,262.0,1.0,1494.0,34006273.0,278
52.51474503845925,13.35522340385595,17.0,32,1,262.0,1.0,1494.0,34006275.0,37
52.51356850125825,13.337168045877133,10.6,52,1,262.0,1.0,1494.0,40848128.0,36
52.510811965492984,13.369133160316863,20.4,55,1,262.0,1.0,1495.0,26349056.0,30
52.510022516825714,13.363426045832806,139.3,1331,1,262.0,1.0,1495.0,26349058.0,854
52.50999192984994,13.363206767720524,107.8,44,1,262.0,1.0,1495.0,26349061.0,23
52.513675332731346,13.377165809476141,58.3,1185,1,262.0,1.0,1495.0,26607105.0,820
52.513290367748546,13.377083563639138,69.5,31,1,262.0,1.0,1495.0,26607108.0,14
52.51490889667758,13.377343965623323,4.4,188,1,262.0,1.0,1495.0,26681600.0,108
52.516977714142044,13.35728929632461,51.3,69,1,262.0,1.0,1495.0,26695425.0,41
52.51123821155164,13.371874322728384,37.8,1153,1,262.0,1.0,1495.0,26722816.0,751
52.51131088758625,13.371750855360961,58.9,18,1,262.0,1.0,1495.0,26722817.0,16
52.51601721814064,13.376653160470433,27.5,956,1,262.0,1.0,1495.0,30827264.0,658
52.5160824327291,13.375819813266139,14.3,618,1,262.0,1.0,1495.0,30827265.0,425
52.51598738392931,13.376897536729297,30.9,24,1,262.0,1.0,1495.0,30827266.0,21
52.51582290111112,13.371656403867261,17.3,65,1,262.0,1.0,1495.0,30828288.0,43
52.51573734008182,13.370383390484369,25.6,237,1,262.0,1.0,1495.0,30828289.0,154
52.51514568603237,13.361146998725445,8.5,228,1,262.0,1.0,1495.0,30828800.0,153
52.515081366565894,13.359629181444186,21.0,948,1,262.0,1.0,1495.0,30828801.0,624
52.51509694141026,13.359656724679876,30.9,188,1,262.0,1.0,1495.0,30828803.0,139
